Name,Step No,Vpoc (pu),Vref (pu),Verr (pu),Qpoc (MVAr)
DMAT_3210_VgridSteps_157p1_FL804_X2R14_P1_Q0_V1.015,5,1.0161237025924628,1.015,0.0011237025924628607,-2.265694761390082
DMAT_3210_VgridSteps_157p2_FL804_X2R3_P1_Q0_V1.015,1,1.0153891947713582,1.015,0.0003891947713583477,-0.6595426857853607
DMAT_3210_VgridSteps_157p2_FL804_X2R3_P1_Q0_V1.015,2,1.0270190133676969,1.015,0.012019013367696951,-31.351319118559402
DMAT_3210_VgridSteps_157p2_FL804_X2R3_P1_Q0_V1.015,3,1.0153939084567543,1.015,0.00039390845675435493,-0.6584599793117745
DMAT_3210_VgridSteps_157p2_FL804_X2R3_P1_Q0_V1.015,4,1.003988535619268,1.015,-0.011011464380731972,29.53199089886044
DMAT_3210_VgridSteps_157p2_FL804_X2R3_P1_Q0_V1.015,5,1.0154754915748334,1.015,0.0004754915748335087,-0.5628622012845829
DMAT_3210_VgridSteps_158p1_FL804_X2R14_P0.05_Q0_V1.015,1,1.0151290607487862,1.015,0.00012906074878626939,0.0830608792177254
DMAT_3210_VgridSteps_158p1_FL804_X2R14_P0.05_Q0_V1.015,2,1.0267710400060313,1.015,0.011771040006031352,-32.16120720948916
DMAT_3210_VgridSteps_158p1_FL804_X2R14_P0.05_Q0_V1.015,3,1.0150964800091349,1.015,9.648000913498045e-05,0.0752377603461809
DMAT_3210_VgridSteps_158p1_FL804_X2R14_P0.05_Q0_V1.015,4,1.0030582158554244,1.015,-0.011941784144575474,31.184480621461482
DMAT_3210_VgridSteps_158p1_FL804_X2R14_P0.05_Q0_V1.015,5,1.015160748530275,1.015,0.00016074853027503444,0.051598742624153225
DMAT_3210_VgridSteps_158p2_FL804_X2R3_P0.05_Q0_V1.015,1,1.0149052931548355,1.015,-9.470684516443839e-05,0.26823757689907074
DMAT_3210_VgridSteps_158p2_FL804_X2R3_P0.05_Q0_V1.015,2,1.0272280432744945,1.015,0.01222804327449456,-32.6533896031158
DMAT_3210_VgridSteps_158p2_FL804_X2R3_P0.05_Q0_V1.015,3,1.015191227741917,1.015,0.00019122774191715486,0.3855695326683928
DMAT_3210_VgridSteps_158p2_FL804_X2R3_P0.05_Q0_V1.015,4,1.0027721940263552,1.015,-0.012227805973644701,32.71749909907695
DMAT_3210_VgridSteps_158p2_FL804_X2R3_P0.05_Q0_V1.015,5,1.0149910944651854,1.015,-8.905534814473981e-06,0.31180197465068527
DMAT_3210_VgridSteps_159p1_FL1975.86_X2R6.250782_P1_Q0_V1.015,1,1.0149057087402933,1.015,-9.429125970661367e-05,0.061289020274460926
DMAT_3210_VgridSteps_159p1_FL1975.86_X2R6.250782_P1_Q0_V1.015,2,1.0369142159750282,1.015,0.021914215975028295,-57.755784061542656
DMAT_3210_VgridSteps_159p1_FL1975.86_X2R6.250782_P1_Q0_V1.015,3,1.0148493401717367,1.015,-0.0001506598282632332,0.2043834735432393
DMAT_3210_VgridSteps_159p1_FL1975.86_X2R6.250782_P1_Q0_V1.015,4,0.993554011289343,1.015,-0.02144598871065695,56.96248792619549
DMAT_3210_VgridSteps_159p1_FL1975.86_X2R6.250782_P1_Q0_V1.015,5,1.0149040769340731,1.015,-9.592306592676181e-05,0.07037579114365605
DMAT_3210_VgridSteps_160p1_FL1975.86_X2R6.250782_P0.05_Q0_V1.015,1,1.0150041227861624,1.015,4.122786162463754e-06,-0.02199351669886242
DMAT_3210_VgridSteps_160p1_FL1975.86_X2R6.250782_P0.05_Q0_V1.015,2,1.0371362918126263,1.015,0.02213629181262644,-58.893394444599714
DMAT_3210_VgridSteps_160p1_FL1975.86_X2R6.250782_P0.05_Q0_V1.015,3,1.0149434259846681,1.015,-5.657401533176731e-05,-0.13934037540522826
DMAT_3210_VgridSteps_160p1_FL1975.86_X2R6.250782_P0.05_Q0_V1.015,4,0.9934166982394156,1.015,-0.021583301760584317,57.69610523696576
DMAT_3210_VgridSteps_160p1_FL1975.86_X2R6.250782_P0.05_Q0_V1.015,5,1.0149994139214316,1.015,-5.860785683431402e-07,-0.0857395459622909
