Name,Iq Settling Time (sec),Iq Rise Time (sec),Ppoc Recovery Time (sec),Enters FRT
CSR_5255_CSRBalancedFaults_054_FL5591_X2R12.04_P0.05_Q1_V1.06,0.04625000000009205,0.01125000000002263,0.08700000000017383,True
CSR_5255_CSRBalancedFaults_055_FL5591_X2R12.04_P-1_Q0_V1.06,0.04000000000007997,0.013750000000027462,0.0,True
CSR_5255_CSRBalancedFaults_056_FL5591_X2R12.04_P-1_Q-1_V1.06,0.03125000000006217,0.013750000000027462,0.0,True
CSR_5255_CSRBalancedFaults_057_FL5591_X2R12.04_P-1_Q1_V1.06,0.04750000000009447,0.01125000000002263,0.0,True
CSR_5255_CSRBalancedFaults_058_FL5591_X2R12.04_P-0.05_Q0_V1.06,0.04000000000007997,0.013750000000027462,0.0,True
CSR_5255_CSRBalancedFaults_059_FL5591_X2R12.04_P-0.05_Q-1_V1.06,0.03125000000006217,0.013750000000027462,0.0,True
CSR_5255_CSRBalancedFaults_060_FL5591_X2R12.04_P-0.05_Q1_V1.06,0.04875000000009688,0.012500000000025047,0.0,True
CSR_5255_CSRBalancedFaults_061_FL3185_X2R11.24_P1_Q0_V1.06,0.03250000000006459,0.015000000000029878,0.14150000000028307,True
CSR_5255_CSRBalancedFaults_062_FL3185_X2R11.24_P1_Q-1_V1.06,0.0512500000001026,0.016250000000032294,0.13975000000028004,True
CSR_5255_CSRBalancedFaults_063_FL3185_X2R11.24_P1_Q1_V1.06,0.03125000000006217,0.015000000000029878,0.14300000000028668,True
CSR_5255_CSRBalancedFaults_064_FL3185_X2R11.24_P0.05_Q0_V1.06,0.03750000000007514,0.013750000000027462,0.20250000000040558,True
CSR_5255_CSRBalancedFaults_065_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.03125000000006217,0.013750000000027462,0.19175000000038445,True
CSR_5255_CSRBalancedFaults_066_FL3185_X2R11.24_P0.05_Q1_V1.06,0.04625000000009205,0.012500000000025047,0.10675000000021306,True
CSR_5255_CSRBalancedFaults_067_FL3185_X2R11.24_P-1_Q0_V1.06,0.03750000000007514,0.013750000000027462,0.0,True
CSR_5255_CSRBalancedFaults_068_FL3185_X2R11.24_P-1_Q-1_V1.06,0.03250000000006459,0.015000000000029878,0.0,True
CSR_5255_CSRBalancedFaults_069_FL3185_X2R11.24_P-1_Q1_V1.06,0.04625000000009205,0.01125000000002263,0.0,True
CSR_5255_CSRBalancedFaults_070_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.038750000000077556,0.013750000000027462,0.0,True
CSR_5255_CSRBalancedFaults_071_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.03250000000006459,0.015000000000029878,0.0,True
CSR_5255_CSRBalancedFaults_072_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.04875000000009688,0.01125000000002263,0.0,True
CSR_5255_CSRBalancedFaults_073_FL5591_X2R12.04_P1_Q0_V1.06,0.027500000000054925,0.010000000000020215,0.02675000000005401,True
CSR_5255_CSRBalancedFaults_074_FL5591_X2R12.04_P1_Q-1_V1.06,0.06250000000012434,0.008750000000017799,0.020250000000040735,True
CSR_5255_CSRBalancedFaults_075_FL5591_X2R12.04_P1_Q1_V1.06,0.04875000000009688,0.016250000000032294,0.13375000000026738,True
CSR_5255_CSRBalancedFaults_076_FL5591_X2R12.04_P0.05_Q0_V1.06,0.04125000000008239,0.010000000000020215,0.038750000000077556,True
CSR_5255_CSRBalancedFaults_077_FL5591_X2R12.04_P0.05_Q-1_V1.06,0.04125000000008239,0.010000000000020215,0.037750000000075445,True
CSR_5255_CSRBalancedFaults_078_FL5591_X2R12.04_P0.05_Q1_V1.06,0.02875000000005734,0.01125000000002263,0.0,True
CSR_5255_CSRBalancedFaults_079_FL5591_X2R12.04_P-1_Q0_V1.06,0.04000000000007997,0.010000000000020215,0.0,True
CSR_5255_CSRBalancedFaults_080_FL5591_X2R12.04_P-1_Q-1_V1.06,0.0587500000001171,0.008750000000017799,0.0,True
CSR_5255_CSRBalancedFaults_081_FL5591_X2R12.04_P-1_Q1_V1.06,0.045000000000089635,0.015000000000029878,0.0,True
CSR_5255_CSRBalancedFaults_082_FL5591_X2R12.04_P-0.05_Q0_V1.06,0.04125000000008239,0.010000000000020215,0.04725000000009505,True
CSR_5255_CSRBalancedFaults_083_FL5591_X2R12.04_P-0.05_Q-1_V1.06,0.04125000000008239,0.010000000000020215,0.04625000000009294,True
CSR_5255_CSRBalancedFaults_084_FL5591_X2R12.04_P-0.05_Q1_V1.06,0.02875000000005734,0.01125000000002263,0.0,True
CSR_5255_CSRBalancedFaults_085_FL3185_X2R11.24_P1_Q0_V1.06,0.027500000000054925,0.010000000000020215,0.023000000000045873,True
CSR_5255_CSRBalancedFaults_086_FL3185_X2R11.24_P1_Q-1_V1.06,0.06250000000012434,0.008750000000017799,0.02000000000004043,True
CSR_5255_CSRBalancedFaults_087_FL3185_X2R11.24_P1_Q1_V1.06,0.03250000000006459,0.015000000000029878,0.13325000000026677,True
CSR_5255_CSRBalancedFaults_088_FL3185_X2R11.24_P0.05_Q0_V1.06,0.04125000000008239,0.010000000000020215,0.040750000000081776,True
CSR_5255_CSRBalancedFaults_089_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.04125000000008239,0.010000000000020215,0.04000000000007997,True
CSR_5255_CSRBalancedFaults_090_FL3185_X2R11.24_P0.05_Q1_V1.06,0.04125000000008239,0.010000000000020215,0.039250000000079055,True
CSR_5255_CSRBalancedFaults_091_FL3185_X2R11.24_P-1_Q0_V1.06,0.0425000000000848,0.008750000000017799,0.0,True
CSR_5255_CSRBalancedFaults_092_FL3185_X2R11.24_P-1_Q-1_V1.06,0.0587500000001171,0.008750000000017799,0.0,True
CSR_5255_CSRBalancedFaults_093_FL3185_X2R11.24_P-1_Q1_V1.06,0.045000000000089635,0.012500000000025047,0.0,True
CSR_5255_CSRBalancedFaults_094_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.04125000000008239,0.010000000000020215,0.05225000000010471,True
CSR_5255_CSRBalancedFaults_095_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.04125000000008239,0.010000000000020215,0.0517500000001041,True
CSR_5255_CSRBalancedFaults_096_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.04125000000008239,0.010000000000020215,0.05200000000010441,True
CSR_5255_CSRUnbalancedFaults_001_FL5591_X2R12.04_P1_Q0_V1.06,0.0512500000001026,0.013750000000027462,0.1365000000002734,True
CSR_5255_CSRUnbalancedFaults_002_FL5591_X2R12.04_P1_Q-1_V1.06,0.03125000000006217,0.013750000000027462,0.1360000000002728,True
CSR_5255_CSRUnbalancedFaults_003_FL5591_X2R12.04_P1_Q1_V1.06,0.07000000000013973,0.01125000000002263,0.13750000000027462,True
CSR_5255_CSRUnbalancedFaults_004_FL5591_X2R12.04_P0.05_Q0_V1.06,0.04875000000009688,0.012500000000025047,0.16600000000033255,True
CSR_5255_CSRUnbalancedFaults_005_FL5591_X2R12.04_P0.05_Q-1_V1.06,0.045000000000089635,0.012500000000025047,0.15925000000031808,True
CSR_5255_CSRUnbalancedFaults_006_FL5591_X2R12.04_P0.05_Q1_V1.06,0.06250000000012434,0.01125000000002263,0.08050000000016055,True
CSR_5255_CSRUnbalancedFaults_007_FL5591_X2R12.04_P-1_Q0_V1.06,0.06875000000013731,0.01125000000002263,0.0,True
CSR_5255_CSRUnbalancedFaults_008_FL5591_X2R12.04_P-1_Q-1_V1.06,0.038750000000077556,0.01125000000002263,0.0,True
CSR_5255_CSRUnbalancedFaults_009_FL5591_X2R12.04_P-1_Q1_V1.06,0.06000000000011951,0.01125000000002263,0.0,True
CSR_5255_CSRUnbalancedFaults_010_FL5591_X2R12.04_P-0.05_Q0_V1.06,0.04875000000009688,0.01125000000002263,0.0,True
CSR_5255_CSRUnbalancedFaults_011_FL5591_X2R12.04_P-0.05_Q-1_V1.06,0.04750000000009447,0.012500000000025047,0.0,True
CSR_5255_CSRUnbalancedFaults_012_FL5591_X2R12.04_P-0.05_Q1_V1.06,0.06125000000012193,0.010000000000020215,0.0,True
CSR_5255_CSRUnbalancedFaults_013_FL3185_X2R11.24_P1_Q0_V1.06,0.0500000000000993,0.012500000000025047,0.14125000000028187,True
CSR_5255_CSRUnbalancedFaults_014_FL3185_X2R11.24_P1_Q-1_V1.06,0.03125000000006217,0.013750000000027462,0.14050000000028184,True
CSR_5255_CSRUnbalancedFaults_015_FL3185_X2R11.24_P1_Q1_V1.06,0.07000000000013973,0.01125000000002263,0.14250000000028606,True
CSR_5255_CSRUnbalancedFaults_016_FL3185_X2R11.24_P0.05_Q0_V1.06,0.04875000000009688,0.01125000000002263,0.1795000000003597,True
CSR_5255_CSRUnbalancedFaults_017_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.04625000000009205,0.012500000000025047,0.16375000000032713,True
CSR_5255_CSRUnbalancedFaults_018_FL3185_X2R11.24_P0.05_Q1_V1.06,0.06375000000012765,0.01125000000002263,0.08400000000016838,True
CSR_5255_CSRUnbalancedFaults_019_FL3185_X2R11.24_P-1_Q0_V1.06,0.06875000000013731,0.01125000000002263,0.0,True
CSR_5255_CSRUnbalancedFaults_020_FL3185_X2R11.24_P-1_Q-1_V1.06,0.04125000000008239,0.01125000000002263,0.0,True
CSR_5255_CSRUnbalancedFaults_021_FL3185_X2R11.24_P-1_Q1_V1.06,0.0587500000001171,0.01125000000002263,0.0,True
CSR_5255_CSRUnbalancedFaults_022_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.04875000000009688,0.012500000000025047,0.0,True
CSR_5255_CSRUnbalancedFaults_023_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.04625000000009205,0.012500000000025047,0.0,True
CSR_5255_CSRUnbalancedFaults_024_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.06125000000012193,0.010000000000020215,0.0,True
CSR_5255_CSRUnbalancedFaults_025_FL5591_X2R12.04_P1_Q0_V1.06,0.03125000000006217,0.012500000000025047,0.09400000000018771,True
CSR_5255_CSRUnbalancedFaults_026_FL5591_X2R12.04_P1_Q-1_V1.06,0.03250000000006459,0.015000000000029878,0.09300000000018649,True
CSR_5255_CSRUnbalancedFaults_027_FL5591_X2R12.04_P1_Q1_V1.06,0.04750000000009447,0.01125000000002263,0.09450000000018832,True
CSR_5255_CSRUnbalancedFaults_028_FL5591_X2R12.04_P0.05_Q0_V1.06,0.04750000000009447,0.012500000000025047,0.10300000000020582,True
