Name,Step No.,Δf,ΔP,Saturated
Test 37,2,1.0000184200583178,-113.42897752856187,False
Test 38,1,-1.233409327028312e-05,-0.008217502717679182,False
Test 38,2,2.00004551769495,-226.84526235344518,False
Test 39,1,-1.5038487489960062e-05,-0.011140891779831463,False
Test 39,2,0.5000745277411269,-56.68887245376146,False
Test 40,1,-1.5038487489960062e-05,-0.011140891779831463,False
Test 40,2,-0.5000464963747078,56.70718954860014,False
Test 41,1,-1.5038487489960062e-05,-0.011140891779831463,False
Test 41,2,-0.9998533527916749,113.41156092863235,False
Test 42,1,-1.5038487489960062e-05,-0.011140891779831463,False
Test 42,2,-1.9999992056168097,226.83094096039625,False
Test 43,1,-1.5038487489960062e-05,-0.011140891779831463,False
Test 43,2,1.000052908933263,-113.42402162205804,False
Test 44,1,-1.5038487489960062e-05,-0.011140891779831463,False
Test 44,2,2.0000267935079563,-226.84745145315398,False
Test 45,1,1.7890475390913707e-05,-0.006243176540351669,False
Test 45,2,0.5000426979947648,-56.69284664382259,False
Test 46,1,1.7890475390913707e-05,-0.006243176540351669,False
Test 46,2,-0.4998809917716258,56.706689792091964,False
Test 47,1,1.7890475390913707e-05,-0.006243176540351669,False
Test 47,2,-1.0000514918504848,113.42391828273443,False
Test 48,1,1.7890475390913707e-05,-0.006243176540351669,False
Test 48,2,-2.000023626125028,145.2667762413284,True
Test 49,1,1.7890475390913707e-05,-0.006243176540351669,False
Test 49,2,0.9999926594870416,-113.4207714784371,False
Test 50,1,1.7890475390913707e-05,-0.006243176540351669,False
Test 50,2,1.9999186229404557,-226.84908736477428,False
Test 51,1,-1.625947376737713e-06,-0.010758382907985932,False
Test 51,2,0.5000145374822225,-56.69329377230096,False
Test 52,1,-1.625947376737713e-06,-0.010758382907985932,False
Test 52,2,-0.4999562543004714,56.70528864939657,False
Test 53,1,-1.625947376737713e-06,-0.010758382907985932,False
Test 53,2,-0.9999299867882527,113.40959502053067,False
Test 54,1,-1.625947376737713e-06,-0.010758382907985932,False
Test 54,2,-2.0000439754361423,226.83070157015226,False
Test 55,1,-1.625947376737713e-06,-0.010758382907985932,False
Test 55,2,1.0000074815136557,-113.42496400058934,False
Test 56,1,-1.625947376737713e-06,-0.010758382907985932,False
Test 56,2,2.000003062845515,-226.84767266566143,False
