Name,Study Type,Fault No,Initial pos seq iq (pu),Initial neg seq iq (pu),Initial V (pu),Last iq (pu),Last V (pu),Last Saturation Point Current (pu),Saturated,Grouped By,Delta iq pos seq (pu),Delta iq neg seq (pu),ABS(Delta neq2pos seq iq),Delta V (pu),Voltage threshold,Delta V (from threshold),diq over dv,Last pos seq iq (pu),fromthresh,Included By Voltage Range
Test 11,Faults,1,-0.26494253679155855,,0.9815328505134491,,0.24620898058330054,1.3110763501241882,True,,1.275785245221441,,,-0.7353238699301485,1,0.7537910194166995,1.6924919670821663,1.0108427084298826,0.7537910194166995,True
Test 12,Faults,1,0.2639999198460686,,1.0263266072048844,,0.24664297547478428,1.209952246397542,True,,0.7497724650182105,,,-0.7796836317301001,1,0.7533570245252157,0.9952418848032056,1.013772384864279,0.7533570245252157,True
Test 13,Faults,1,0.10071128758361972,,1.0058877170421117,,0.2468211796380312,1.2370682761093936,True,,0.9123322561543173,,,-0.7590665374040805,1,0.7531788203619688,1.211308963409063,1.013043543737937,0.7531788203619688,True
Test 14,Faults,1,-0.15899932153654994,,0.9909330397117334,,0.24663552683149753,1.2957454029012485,True,,1.1704364090952213,,,-0.7442975128802358,1,0.7533644731685025,1.5536124290180506,1.0114370875586713,0.7533644731685025,True
Test 15,Faults,1,0.3705593753036741,,1.049896400622174,,0.24706881304184816,1.2108867349146974,True,,0.6439293578666151,,,-0.8028275875803259,1,0.7529311869581519,0.855230025028044,1.0144887331702892,0.7529311869581519,True
Test 16,Faults,1,-0.011387163126532766,,0.9946123743013064,,0.24624363511903502,1.2500183005294327,True,,1.0229959216876152,,,-0.7483687391822714,1,0.753756364880965,1.357197059091062,1.0116087585610825,0.753756364880965,True
Test 17,Faults,1,-0.2643132569431416,,0.982527206691394,,0.24633850697440085,1.31130525911486,True,,1.2755380284214934,,,-0.7361886997169932,1,0.7536614930255991,1.6924548225235756,1.0112247714783518,0.7536614930255991,True
Test 18,Faults,1,0.263820563354469,,1.0271475913645933,,0.2466292806228297,1.2099298745226408,True,,0.7499152352424079,,,-0.7805183107417636,1,0.7533707193771703,0.9954133017837232,1.013735798596877,0.7533707193771703,True
Test 19,Faults,1,0.0998847307639282,,0.9988192371470663,,0.2466416173482725,1.250838566268348,True,,0.9119630531621555,,,-0.7521776197987938,1,0.7533583826517275,1.2105301728403943,1.0118477839260838,0.7533583826517275,True
Test 20,Faults,1,-0.1601334303175455,,0.9723287168635047,,0.24661188278835502,1.295398107499362,True,,1.1713579195605106,,,-0.7257168340751498,1,0.753388117211645,1.5547868260728723,1.0112244892429652,0.753388117211645,True
Test 21,Faults,1,0.3768808846261137,,1.0319010472628343,,0.24712170530980132,1.2104010996345116,True,,0.6373597634589706,,,-0.7847793419530329,1,0.7528782946901986,0.8465641365331662,1.0142406480850843,0.7528782946901986,True
Test 22,Faults,1,-0.011093950286702623,,0.9936808350812671,,0.24621977807693263,1.250057747772682,True,,1.0226527849534346,,,-0.7474610570043345,1,0.7537802219230674,1.3566988827916062,1.011558834666732,0.7537802219230674,True
Test 23,Faults,1,-0.2646396496644323,,0.9815507181332125,,0.24628710279132401,1.311287974343618,True,,1.2756955824071317,,,-0.7352636153418884,1,0.753712897208676,1.6925484320774964,1.0110559327426993,0.753712897208676,True
Test 24,Faults,1,0.26402352272412094,,1.026217395725502,,0.2466669612648901,1.209978454404963,True,,0.7498553624463664,,,-0.779550434460612,1,0.7533330387351099,0.9953836137406336,1.0138788851704874,0.7533330387351099,True
Test 25,Faults,1,0.100645048830395,,1.0056810348708722,,0.45448318081675226,1.2372589884813732,True,,0.9110484660123878,,,-0.55119785405412,1,0.5455168191832478,1.6700648522192532,1.0116935148427828,0.5455168191832478,True
Test 26,Faults,1,-0.15900981429538383,,0.990675343023786,,0.46904570322278233,1.2967457506059643,True,,1.1700050183891728,,,-0.5216296398010036,1,0.5309542967772176,2.2035889444550323,1.010995204093789,0.5309542967772176,True
Test 27,Faults,1,0.37103403462152623,,1.049805435498547,,0.44609282055422694,1.2099401207788645,True,,0.6414424989192529,,,-0.6037126149443202,1,0.5539071794457731,1.1580324695575632,1.012476533540779,0.5539071794457731,True
Test 28,Faults,1,-0.011592409188333605,,0.9945780998287732,,0.457555563755446,1.251626165358878,True,,1.0233273720312326,,,-0.5370225360733272,1,0.542444436244554,1.8865109560638555,1.0117349628428989,0.542444436244554,True
Test 29,Faults,1,-0.2643649115344552,,0.9825048836216193,,0.47250097707389976,1.3128928366733756,True,,1.2756955298946,,,-0.5100039065477195,1,0.5274990229261003,2.4183846309670187,1.011330618360145,0.5274990229261003,True
Test 30,Faults,1,0.2637258288197351,,1.0272526360854417,,0.4465114811047327,1.209968696588508,True,,0.7488164686361871,,,-0.580741154980709,1,0.5534885188952673,1.3529033450066565,1.0125422974559222,0.5534885188952673,True
Test 31,Faults,1,0.09974175876739028,,0.9987911646710955,,0.4584544976615254,1.252389453205151,True,,0.912610806469901,,,-0.5403366670095702,1,0.5415455023384745,1.685196908716093,1.0123525652372913,0.5415455023384745,True
Test 32,Faults,1,-0.1607633702534586,,0.9722736828927503,,0.4704147605639017,1.2973415577614842,True,,1.1724115059451439,,,-0.5018589223288485,1,0.5295852394360983,2.2138296512824382,1.0116481356916853,0.5295852394360983,True
Test 33,Faults,1,0.376810325837385,,1.0320043010927085,,0.44728541602237787,1.210526562229889,True,,0.6359347348647753,,,-0.5847188850703307,1,0.5527145839776222,1.1505662294782553,1.0127450607021602,0.5527145839776222,True
Test 34,Faults,1,-0.011306955385169978,,0.9936704692213006,,0.4576243281041185,1.2519480864674541,True,,1.0231214813831695,,,-0.5360461411171822,1,0.5423756718958814,1.8863705258143948,1.0118145259979996,0.5423756718958814,True
Test 35,Faults,1,-0.2649451785850192,,0.9815326502370849,,0.47253292810661107,1.3125987303616966,True,,1.2760638212885866,,,-0.5089997221304738,1,0.5274670718933889,2.4192293496313324,1.0111186427035674,0.5274670718933889,True
Test 36,Faults,1,0.2639973648057986,,1.0263253258766065,,0.44657767625186995,1.2100874247889002,True,,0.7486270277410981,,,-0.5797476496247366,1,0.55342232374813,1.352722858505087,1.0126243925468967,0.55342232374813,True
