Name,Study Type,Fault No,Initial pos seq iq (pu),Initial neg seq iq (pu),Initial V (pu),Last iq (pu),Last V (pu),Last Saturation Point Current (pu),Saturated,Grouped By,Delta iq pos seq (pu),Delta iq neg seq (pu),ABS(Delta neq2pos seq iq),Delta V (pu),Voltage threshold,Delta V (from threshold),diq over dv,Last pos seq iq (pu),fromthresh,Included By Voltage Range
Test 19,Faults,1,0.001424157371551967,,1.0598382826001786,,0.0012308697781316048,1.250838566268348,True,,1.3036980856344176,,,-1.058607412822047,0.9,0.8987691302218684,1.4505372311937206,1.3051222430059695,0.8987691302218684,True
Test 20,Faults,1,-0.3448336234757084,,1.0597955102050212,,0.001269641355921169,1.295398107499362,True,,1.6977394802629022,,,-1.0585258688491,0.9,0.8987303586440789,1.8890420958120233,1.3529058567871939,0.8987303586440789,True
Test 21,Faults,1,0.3467045560994975,,1.0596665925040252,,0.001192593471679606,1.2104010996345116,True,,0.915469185561008,,,-1.0584739990323455,0.9,0.8988074065283204,1.0185376521284404,1.2621737416605054,0.8988074065283204,True
Test 22,Faults,1,0.0006539836392753239,,1.0599246560120665,,0.0012291107321311403,1.250057747772682,True,,1.3126895406573857,,,-1.0586955452799354,0.9,0.8987708892678689,1.4605385603072787,1.3133435242966611,0.8987708892678689,True
Test 23,Faults,1,-0.34600052592862834,,1.0599313854700416,,0.0012704869067343444,1.311287974343618,True,,1.7218326749158943,,,-1.0586608985633073,0.9,0.8987295130932657,1.915851933013366,1.375832148987266,0.8987295130932657,True
Test 24,Faults,1,0.346613573084025,,1.0598736217889277,,0.0011904080668681493,1.209978454404963,True,,0.9249677459094219,,,-1.0586832137220596,0.9,0.8988095919331319,1.0291031095029035,1.2715813189934468,0.8988095919331319,True
Test 25,Faults,1,-7.223948331597823e-05,,1.06001404168348,,0.225596286855647,1.2372589884813732,True,,1.3021388145057557,,,-0.834417754827833,0.9,0.674403713144353,1.930800185596011,1.3020665750224398,0.674403713144353,True
Test 26,Faults,1,-0.3465181727250139,,1.0600135225971499,,0.23008152671517137,1.2967457506059643,True,,1.7113130881741567,,,-0.8299319958819785,0.9,0.6699184732848287,2.5545094760307636,1.3647949154491428,0.6699184732848287,True
Test 27,Faults,1,0.3465097257260985,,1.0600145691674212,,0.221477895793026,1.2099401207788645,True,,0.9266671437394502,,,-0.8385366733743952,0.9,0.678522104206974,1.3657140098958116,1.2731768694655488,0.678522104206974,True
Test 28,Faults,1,2.0819745491673037e-05,,1.0599976644709945,,0.22629698217511351,1.251626165358878,True,,1.3166053955880404,,,-0.833700682295881,0.9,0.6737030178248865,1.9542815762334338,1.316626215333532,0.6737030178248865,True
Test 29,Faults,1,-0.3458955856621732,,1.0599187744324177,,0.2307684025792495,1.3128928366733756,True,,1.7271155247500258,,,-0.8291503718531682,0.9,0.6692315974207506,2.580744142097308,1.3812199390878526,0.6692315974207506,True
