Name,Study Type,Fault No,Initial pos seq iq (pu),Initial neg seq iq (pu),Initial V (pu),Last iq (pu),Last V (pu),Last Saturation Point Current (pu),Saturated,Grouped By,Delta iq pos seq (pu),Delta iq neg seq (pu),ABS(Delta neq2pos seq iq),Delta V (pu),Excluded By Voltage Range,Last pos seq iq (pu),Included By Voltage Range
Test 22,Faults,1,-0.16295682868943964,,0.9943268284809177,,0.24996714772047884,1.3881657669570235,True,,1.1364532507663019,,,-0.7443596807604389,,0.9734964220768622,True
Test 23,Faults,1,-0.4101453159894692,,0.9685185559470655,,0.25108941104916,1.4429293576607796,True,,1.3838602836257057,,,-0.7174291448979055,,0.9737149676362366,True
Test 24,Faults,1,0.10695213570161503,,1.0113740379934768,,0.2522876632799307,1.3336284730970875,True,,0.8680370462228627,,,-0.7590863747135461,,0.9749891819244777,True
Test 25,Faults,1,-0.059816771444620234,,1.0170779725146755,,0.47393261941418985,1.4594365858600684,True,,1.04260215185881,,,-0.5431453531004856,,0.9827853804141897,True
Test 26,Faults,1,-0.3055762327733638,,0.9907614100966129,,0.4873983685498792,1.515954553055059,True,,1.289913255776555,,,-0.5033630415467336,,0.9843370230031911,True
Test 27,Faults,1,0.21426293369576668,,1.0360814459513241,,0.4583163756192516,1.3878298311735653,True,,0.7769991938153061,,,-0.5777650703320725,,0.9912621275110728,True
Test 28,Faults,1,-0.16466298700365106,,0.9950005879541743,,0.47502991560490687,1.4536298905998455,True,,1.1378925837908767,,,-0.5199706723492674,,0.9732295967872256,True
Test 29,Faults,1,-0.40923716293963375,,0.9696694380908506,,0.48765884814293037,1.5062579989581866,True,,1.3863048438699184,,,-0.48201058994792023,,0.9770676809302846,True
Test 30,Faults,1,0.10555430754643265,,1.0127169790673314,,0.4586220848358667,1.3826362023328402,True,,0.8711834447367511,,,-0.5540948942314647,,0.9767377522831838,True
Test 31,Faults,1,-0.05187712026223891,,0.9822721181164241,,0.4653459388047363,1.4301679172136756,True,,1.0274459677754293,,,-0.5169261793116878,,0.9755688475131904,True
Test 32,Faults,1,-0.30585633756236885,,0.973438789398811,,0.48288838757463526,1.506023263075357,True,,1.2830295338946123,,,-0.49055040182417575,,0.9771731963322434,True
Test 33,Faults,1,0.21859010746236895,,1.0180006670191148,,0.45258525959997964,1.3757617667403523,True,,0.760707602885121,,,-0.5654154074191352,,0.9792977103474899,True
Test 34,Faults,1,-0.16357575372832023,,0.9942533654020992,,0.4753268179890223,1.458166596890515,True,,1.144466386348895,,,-0.5189265474130769,,0.9808906326205747,True
Test 35,Faults,1,-0.4109317145596297,,0.9681031351763408,,0.4872370022692887,1.505406036472425,True,,1.3893659486226013,,,-0.48086613290705216,,0.9784342340629717,True
Test 36,Faults,1,0.10399522097450041,,1.0111143986158337,,0.45850705088556043,1.3810069693204026,True,,0.87316387232353,,,-0.5526073477302733,,0.9771590932980304,True
Test 37,Faults,1,-0.059233116859004196,,1.0170315385722208,,0.490993782506435,1.4638149847285225,True,,1.04621656908518,,,-0.5260377560657858,,0.9869834522261758,True
Test 38,Faults,1,-0.3056374831774278,,0.9905895158616963,,0.5104117901134219,1.520655431390854,True,,1.2946937726073542,,,-0.48017772574827444,,0.9890562894299263,True
Test 39,Faults,1,0.21426144103886094,,1.0362016722464387,,0.46794340742383417,1.3820125947189688,True,,0.7623750164584424,,,-0.5682582648226044,,0.9766364574973033,True
Test 40,Faults,1,-0.16331470605032755,,0.9952625044279649,,0.4948659826638714,1.4603860784696325,True,,1.1448208280253533,,,-0.5003965217640935,,0.9815061219750257,True
Test 41,Faults,1,-0.4092843617804124,,0.9697993028620757,,0.513462335887692,1.5120639078043434,True,,1.3830344325893982,,,-0.45633696697438375,,0.9737500708089858,True
Test 42,Faults,1,0.10363812854526123,,1.0117632046525005,,0.4717218448515949,1.3848569632312975,True,,0.8765688672124755,,,-0.5400413598009055,,0.9802069957577367,True
Test 43,Faults,1,-0.05181754909719395,,0.9821736346042135,,0.4828815381274292,1.4233480644244247,True,,1.0277006780954385,,,-0.4992920964767843,,0.9758831289982446,True
Test 44,Faults,1,-0.3101550093027103,,0.9721891013288702,,0.5087989649542235,1.5110212021119394,True,,1.2817169480297075,,,-0.46339013637464666,,0.9715619387269973,True
Test 45,Faults,1,0.22116568695325775,,1.0170808303328887,,0.46558513720021166,1.377282329951005,True,,0.7513098607419202,,,-0.551495693132677,,0.972475547695178,True
Test 46,Faults,1,-0.16295839855273708,,0.9943322463610103,,0.49344228950951213,1.4588327800648582,True,,1.1432260270634043,,,-0.5008899568514982,,0.9802676285106672,True
Test 47,Faults,1,-0.41018922069086966,,0.968512003165673,,0.512370083777875,1.5095825501446027,True,,1.3837808639841338,,,-0.456141919387798,,0.9735916432932641,True
Test 48,Faults,1,0.1094158946018913,,1.0121667600496933,,0.4701717031615072,1.3827230940673083,True,,0.8688423088880564,,,-0.5419950568881862,,0.9782582034899476,True
Test 49,Faults,1,-0.059818894620391354,,1.0170719203589527,,0.6508872647171552,1.4740985301101386,True,,0.889997297710506,,,-0.3661846556417975,,0.8301784030901146,True
Test 50,Faults,1,-0.3055732731950162,,0.9907634879875797,,0.6356744751030952,1.483484775227356,True,,0.9807733303761532,,,-0.3550890128844846,,0.675200057181137,True
Test 51,Faults,1,0.21424005486836634,,1.0360706215677984,,0.6589328097639279,1.422181048629726,True,,0.7697091861648939,,,-0.3771378118038705,,0.9839492410332602,True
Test 52,Faults,1,-0.1630159687854644,,0.9953088545985429,,0.6413545128934056,1.2226111867451488,True,,0.9439818854600956,,,-0.3539543417051373,,0.7809659166746312,True
