,Name,Fault Type,In-Fault Voltage Phase A (pu),In-Fault Voltage Phase B (pu),In-Fault Voltage Phase C (pu),In-Fault Max Phase Voltage (pu),In-Fault Min Phase Voltage (pu),Post-Fault Voltage Phase A (pu),Post-Fault Voltage Phase B (pu),Post-Fault Voltage Phase C (pu),Post-Fault Max Phase Voltage (pu),Post-Fault Min Phase Voltage (pu),Fault Level
51,CSR_5255_CSRUnbalancedFaults_004_FL5591_X2R12.04_P0.05_Q0_V1.06,2PhG,0.0013020423275828536,0.001311113153415559,0.9647787930668372,0.9647787930668372,0.9647787930668372,1.0975431559950792,1.0877502104311403,1.0736120891747112,1.0975431559950792,1.0736120891747112,5590.999999999999
52,CSR_5255_CSRUnbalancedFaults_005_FL5591_X2R12.04_P0.05_Q-1_V1.06,2PhG,0.00133270656345024,0.001342310291424577,0.96667893377347,0.96667893377347,0.96667893377347,1.1099360138611198,1.0879028955554209,1.067976468524755,1.1099360138611198,1.067976468524755,5590.999999999999
53,CSR_5255_CSRUnbalancedFaults_006_FL5591_X2R12.04_P0.05_Q1_V1.06,2PhG,0.0012744674725006608,0.0012831803336053815,0.9588199459259736,0.9588199459259736,0.9588199459259736,1.0863252221903077,1.0795858970914902,1.0728127076493792,1.0863252221903077,1.0728127076493792,5590.999999999999
54,CSR_5255_CSRUnbalancedFaults_007_FL5591_X2R12.04_P-1_Q0_V1.06,2PhG,0.001308098484794048,0.0013172390061384745,0.969993122785203,0.969993122785203,0.969993122785203,1.1032875269271303,1.0936177965104998,1.0795745492963722,1.1032875269271303,1.0795745492963722,5590.999999999999
55,CSR_5255_CSRUnbalancedFaults_008_FL5591_X2R12.04_P-1_Q-1_V1.06,2PhG,0.0013361416732790203,0.0013456530876405856,0.9743930100995508,0.9743930100995508,0.9743930100995508,1.114565921126018,1.0959866852629816,1.0776773381033335,1.114565921126018,1.0776773381033335,5590.999999999999
56,CSR_5255_CSRUnbalancedFaults_009_FL5591_X2R12.04_P-1_Q1_V1.06,2PhG,0.001280619513075482,0.0012894029692285098,0.964046933679171,0.964046933679171,0.964046933679171,1.0927992257454975,1.0856750889556341,1.0788527688486356,1.0927992257454975,1.0788527688486356,5590.999999999999
57,CSR_5255_CSRUnbalancedFaults_010_FL5591_X2R12.04_P-0.05_Q0_V1.06,2PhG,0.0013024170666889507,0.0013114865651265549,0.9650325550393606,0.9650325550393606,0.9650325550393606,1.0976365507752004,1.0877334414517703,1.073755432021706,1.0976365507752004,1.073755432021706,5590.999999999999
58,CSR_5255_CSRUnbalancedFaults_011_FL5591_X2R12.04_P-0.05_Q-1_V1.06,2PhG,0.0013332470462071486,0.0013428505765050273,0.9670327528965018,0.9670327528965018,0.9670327528965018,1.110181686736072,1.0879965255040087,1.0683466600040186,1.110181686736072,1.0683466600040186,5590.999999999999
59,CSR_5255_CSRUnbalancedFaults_012_FL5591_X2R12.04_P-0.05_Q1_V1.06,2PhG,0.0012748992839770005,0.0012836133328937925,0.9591213998976434,0.9591213998976434,0.9591213998976434,1.0865520425547115,1.0799239806146375,1.072893481366643,1.0865520425547115,1.072893481366643,5590.999999999999
60,CSR_5255_CSRUnbalancedFaults_025_FL5591_X2R12.04_P1_Q0_V1.06,2PhG,0.23427608064578936,0.23544129997003418,0.9946554948386515,0.9946554948386515,0.9946554948386515,1.0893277265928087,1.0855869652870653,1.0815679462227732,1.0893277265928087,1.0815679462227732,5590.999999999999
61,CSR_5255_CSRUnbalancedFaults_026_FL5591_X2R12.04_P1_Q-1_V1.06,2PhG,0.239409049883932,0.2406269456986887,0.9988161939832502,0.9988161939832502,0.9988161939832502,1.0938516680859067,1.0909913670254348,1.0817912270772327,1.0938516680859067,1.0817912270772327,5590.999999999999
62,CSR_5255_CSRUnbalancedFaults_027_FL5591_X2R12.04_P1_Q1_V1.06,2PhG,0.22986015543805488,0.23100770818788222,0.9854547195840836,0.9854547195840836,0.9854547195840836,1.0787997205591071,1.072825747494527,1.075813264020932,1.0787997205591071,1.072825747494527,5590.999999999999
63,CSR_5255_CSRUnbalancedFaults_028_FL5591_X2R12.04_P0.05_Q0_V1.06,2PhG,0.23511127034273188,0.2362826774330939,0.993518309974116,0.993518309974116,0.993518309974116,1.0859576001311264,1.0827686074789458,1.0773173253965427,1.0859576001311264,1.0773173253965427,5590.999999999999
64,CSR_5255_CSRUnbalancedFaults_029_FL5591_X2R12.04_P0.05_Q-1_V1.06,2PhG,0.24021592476186027,0.24144279200287164,0.9968050505352183,0.9968050505352183,0.9968050505352183,1.0903977812330474,1.0874861760432144,1.077026552310593,1.0903977812330474,1.077026552310593,5590.999999999999
65,CSR_5255_CSRUnbalancedFaults_030_FL5591_X2R12.04_P0.05_Q1_V1.06,2PhG,0.2303868409989909,0.2315249529306441,0.9864811961353258,0.9864811961353258,0.9864811961353258,1.0785204311964307,1.0733547053347297,1.0734627628409148,1.0785204311964307,1.0733547053347297,5590.999999999999
66,CSR_5255_CSRUnbalancedFaults_031_FL5591_X2R12.04_P-1_Q0_V1.06,2PhG,0.23623341911798895,0.2374171004253634,0.9991658969113196,0.9991658969113196,0.9991658969113196,1.091887204767458,1.0871279986079734,1.0836636949419702,1.091887204767458,1.0836636949419702,5590.999999999999
67,CSR_5255_CSRUnbalancedFaults_032_FL5591_X2R12.04_P-1_Q-1_V1.06,2PhG,0.24095868020298455,0.24218028837302624,1.0042712181971665,1.0042712181971665,1.0042712181971665,1.096004071661287,1.0949193749447441,1.0857702013170436,1.096004071661287,1.0857702013170436,5590.999999999999
68,CSR_5255_CSRUnbalancedFaults_033_FL5591_X2R12.04_P-1_Q1_V1.06,2PhG,0.23151563096693842,0.23266609829266538,0.9920263542804805,0.9920263542804805,0.9920263542804805,1.0834680216368777,1.0793901003887054,1.0791863757755593,1.0834680216368777,1.0791863757755593,5590.999999999999
69,CSR_5255_CSRUnbalancedFaults_034_FL5591_X2R12.04_P-0.05_Q0_V1.06,2PhG,0.23517995199639982,0.23635152649451394,0.9937707294777657,0.9937707294777657,0.9937707294777657,1.0861091311174902,1.0828320618558998,1.0772446529050432,1.0861091311174902,1.0772446529050432,5590.999999999999
70,CSR_5255_CSRUnbalancedFaults_035_FL5591_X2R12.04_P-0.05_Q-1_V1.06,2PhG,0.24031278569862688,0.24153993326976111,0.9971443479829357,0.9971443479829357,0.9971443479829357,1.0903604657176467,1.0877302124340171,1.077322958552951,1.0903604657176467,1.077322958552951,5590.999999999999
71,CSR_5255_CSRUnbalancedFaults_036_FL5591_X2R12.04_P-0.05_Q1_V1.06,2PhG,0.23046331951159735,0.2316017831294077,0.986780607848103,0.986780607848103,0.986780607848103,1.0786420004985406,1.073402101602852,1.0736323915544843,1.0786420004985406,1.073402101602852,5590.999999999999
72,CSR_5255_CSRUnbalancedFaults_049_FL5591_X2R12.04_P1_Q0_V1.06,1PhG,0.001360246842574063,1.0268062865720027,1.0199459639253805,1.0268062865720027,1.0199459639253805,1.1105940440791684,1.0709487657045214,1.076528431497648,1.1105940440791684,1.0709487657045214,5590.999999999999
73,CSR_5255_CSRUnbalancedFaults_050_FL5591_X2R12.04_P1_Q-1_V1.06,1PhG,0.0013972289284802438,1.0322959881842608,1.0252019019876728,1.0322959881842608,1.0252019019876728,1.1143519312556778,1.0730929628424073,1.0802445702260086,1.1143519312556778,1.0730929628424073,5590.999999999999
74,CSR_5255_CSRUnbalancedFaults_051_FL5591_X2R12.04_P1_Q1_V1.06,1PhG,0.0013309806157254787,1.017514277032683,1.010720019583041,1.017514277032683,1.010720019583041,1.1004087509565403,1.0661439880405146,1.0718015270063768,1.1004087509565403,1.0661439880405146,5590.999999999999
75,CSR_5255_CSRUnbalancedFaults_052_FL5591_X2R12.04_P0.05_Q0_V1.06,1PhG,0.0013669723604137973,1.0256850007127707,1.0188097065691424,1.0256850007127707,1.0188097065691424,1.1079947686382394,1.0676304324261012,1.0732603112698094,1.1079947686382394,1.0676304324261012,5590.999999999999
76,CSR_5255_CSRUnbalancedFaults_053_FL5591_X2R12.04_P0.05_Q-1_V1.06,1PhG,0.0014041899210848682,1.0302037307642664,1.02309547602373,1.0302037307642664,1.02309547602373,1.111377679996115,1.0697641734917973,1.07480567439446,1.111377679996115,1.0697641734917973,5590.999999999999
77,CSR_5255_CSRUnbalancedFaults_054_FL5591_X2R12.04_P0.05_Q1_V1.06,1PhG,0.0013344171833911361,1.018008753405967,1.011278643353021,1.018008753405967,1.011278643353021,1.1001275112717837,1.0629731525556214,1.0687176232116986,1.1001275112717837,1.0629731525556214,5590.999999999999
78,CSR_5255_CSRUnbalancedFaults_055_FL5591_X2R12.04_P-1_Q0_V1.06,1PhG,0.5816784236384103,1.0427587257518118,1.0397174547464045,1.0427587257518118,1.0397174547464045,1.0662723860747112,1.0604612061925338,1.060510625219602,1.0662723860747112,1.0604612061925338,5590.999999999999
79,CSR_5255_CSRUnbalancedFaults_056_FL5591_X2R12.04_P-1_Q-1_V1.06,1PhG,0.5865342278263437,1.0445113853034191,1.0415271184336623,1.0445113853034191,1.0415271184336623,1.0687809191681488,1.0652840690292846,1.065350482538605,1.0687809191681488,1.0652840690292846,5590.999999999999
80,CSR_5255_CSRUnbalancedFaults_057_FL5591_X2R12.04_P-1_Q1_V1.06,1PhG,0.5777782073216622,1.0419494499739106,1.0387585060806503,1.0419494499739106,1.0387585060806503,1.063608469004686,1.0602457666311536,1.0602954177581072,1.063608469004686,1.0602457666311536,5590.999999999999
81,CSR_5255_CSRUnbalancedFaults_058_FL5591_X2R12.04_P-0.05_Q0_V1.06,1PhG,0.5819435871821107,1.0431091454041552,1.0403042200979797,1.0431091454041552,1.0403042200979797,1.0711088993254672,1.0605854255922644,1.0606378354437487,1.0711088993254672,1.0605854255922644,5590.999999999999
82,CSR_5255_CSRUnbalancedFaults_059_FL5591_X2R12.04_P-0.05_Q-1_V1.06,1PhG,0.5871802731935273,1.0419949014156265,1.0397035576202271,1.0419949014156265,1.0397035576202271,1.0683864347554193,1.0663886907698805,1.0664648813579962,1.0683864347554193,1.0663886907698805,5590.999999999999
83,CSR_5255_CSRUnbalancedFaults_060_FL5591_X2R12.04_P-0.05_Q1_V1.06,1PhG,0.5763753683460705,1.0394966859937076,1.036602734765289,1.0394966859937076,1.036602734765289,1.065918056208735,1.060047200106533,1.0600961293258506,1.065918056208735,1.060047200106533,5590.999999999999
84,CSR_5255_CSRUnbalancedFaults_073_FL5591_X2R12.04_P1_Q0_V1.06,1PhG,0.001360246842574063,1.0268062865720027,1.0199459639253805,1.0268062865720027,1.0199459639253805,1.1105940440791684,1.0709487657045214,1.076528431497648,1.1105940440791684,1.0709487657045214,5590.999999999999
85,CSR_5255_CSRUnbalancedFaults_074_FL5591_X2R12.04_P1_Q-1_V1.06,1PhG,0.0013972289284802438,1.0322959881842608,1.0252019019876728,1.0322959881842608,1.0252019019876728,1.1143519312556778,1.0730929628424073,1.0802445702260086,1.1143519312556778,1.0730929628424073,5590.999999999999
86,CSR_5255_CSRUnbalancedFaults_075_FL5591_X2R12.04_P1_Q1_V1.06,1PhG,0.0013309806157254787,1.017514277032683,1.010720019583041,1.017514277032683,1.010720019583041,1.1004087509565403,1.0661439880405146,1.0718015270063768,1.1004087509565403,1.0661439880405146,5590.999999999999
87,CSR_5255_CSRUnbalancedFaults_076_FL5591_X2R12.04_P0.05_Q0_V1.06,1PhG,0.0013669723604137973,1.0256850007127707,1.0188097065691424,1.0256850007127707,1.0188097065691424,1.1079947686382394,1.0676304324261012,1.0732603112698094,1.1079947686382394,1.0676304324261012,5590.999999999999
